Index,SortingAlgo,SortingType,DataType,DataSize,ExeTime
5,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,2808460
6,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,3939771
7,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,3064621
8,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,5000819
9,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,3527868
10,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,4238978
1,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,4209
2,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,6371
3,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,4278
4,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,3298
5,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,3338
6,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,3308
7,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,3264
8,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,3263
9,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,3323
10,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,3344
1,BubbleSortUntilNoChange,Ascending,Random,10000,531616741
2,BubbleSortUntilNoChange,Ascending,Random,10000,397842090
3,BubbleSortUntilNoChange,Ascending,Random,10000,417045192
4,BubbleSortUntilNoChange,Ascending,Random,10000,384448329
5,BubbleSortUntilNoChange,Ascending,Random,10000,361758329
6,BubbleSortUntilNoChange,Ascending,Random,10000,396492741
7,BubbleSortUntilNoChange,Ascending,Random,10000,355230134
8,BubbleSortUntilNoChange,Ascending,Random,10000,353204439
9,BubbleSortUntilNoChange,Ascending,Random,10000,380013311
10,BubbleSortUntilNoChange,Ascending,Random,10000,391691079
1,BubbleSortUntilNoChange,Ascending,Sorted,10000,23600
2,BubbleSortUntilNoChange,Ascending,Sorted,10000,23317
3,BubbleSortUntilNoChange,Ascending,Sorted,10000,38784
4,BubbleSortUntilNoChange,Ascending,Sorted,10000,24217
5,BubbleSortUntilNoChange,Ascending,Sorted,10000,24732
6,BubbleSortUntilNoChange,Ascending,Sorted,10000,24909
7,BubbleSortUntilNoChange,Ascending,Sorted,10000,23981
8,BubbleSortUntilNoChange,Ascending,Sorted,10000,24361
9,BubbleSortUntilNoChange,Ascending,Sorted,10000,24965
10,BubbleSortUntilNoChange,Ascending,Sorted,10000,27780
1,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,328926520
2,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,358855574
3,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,338404594
4,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,389462231
5,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,339752661
6,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,334904125
7,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,328282959
8,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,331827654
9,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,321081971
10,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,331051899
1,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,250722156
2,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,266665670
3,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,238106099
4,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,240380760
5,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,249208424
6,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,245613949
7,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,247687923
8,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,244401586
9,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,233880020
10,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,244745984
1,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,22223
2,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,21965
3,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,22008
4,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,22105
5,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,22166
6,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,21968
7,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,21966
8,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,21974
9,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,21998
10,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,22083
1,BubbleSortWhileNeeded,Ascending,Random,100,259145
2,BubbleSortWhileNeeded,Ascending,Random,100,171946
3,BubbleSortWhileNeeded,Ascending,Random,100,172690
4,BubbleSortWhileNeeded,Ascending,Random,100,170268
5,BubbleSortWhileNeeded,Ascending,Random,100,161578
6,BubbleSortWhileNeeded,Ascending,Random,100,175022
7,BubbleSortWhileNeeded,Ascending,Random,100,166814
8,BubbleSortWhileNeeded,Ascending,Random,100,175016
9,BubbleSortWhileNeeded,Ascending,Random,100,172552
10,BubbleSortWhileNeeded,Ascending,Random,100,162225
1,BubbleSortWhileNeeded,Ascending,Sorted,100,2865
2,BubbleSortWhileNeeded,Ascending,Sorted,100,5954
3,BubbleSortWhileNeeded,Ascending,Sorted,100,3074
4,BubbleSortWhileNeeded,Ascending,Sorted,100,3006
5,BubbleSortWhileNeeded,Ascending,Sorted,100,2976
6,BubbleSortWhileNeeded,Ascending,Sorted,100,2837
7,BubbleSortWhileNeeded,Ascending,Sorted,100,2872
8,BubbleSortWhileNeeded,Ascending,Sorted,100,2938
9,BubbleSortWhileNeeded,Ascending,Sorted,100,2784
10,BubbleSortWhileNeeded,Ascending,Sorted,100,2952
1,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,390969
2,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,254216
3,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,265467
4,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,107525
5,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,93923
6,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,112294
7,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,83515
8,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,104890
9,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,105263
10,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,123469
1,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,102380
2,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,47379
3,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,28230
4,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,40638
5,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,35261
6,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,32073
7,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,43811
8,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,44786
9,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,48122
10,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,36471
1,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,1236
2,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,1223
3,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,1208
4,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,2217
5,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,1256
6,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,1563
7,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,2257
8,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,1238
9,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,1164
10,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,1110
1,BubbleSortWhileNeeded,Ascending,Random,1000,18581908
2,BubbleSortWhileNeeded,Ascending,Random,1000,2132473
3,BubbleSortWhileNeeded,Ascending,Random,1000,2026739
4,BubbleSortWhileNeeded,Ascending,Random,1000,1851934
5,BubbleSortWhileNeeded,Ascending,Random,1000,1926750
6,BubbleSortWhileNeeded,Ascending,Random,1000,3094730
7,BubbleSortWhileNeeded,Ascending,Random,1000,2876387
8,BubbleSortWhileNeeded,Ascending,Random,1000,1710575
9,BubbleSortWhileNeeded,Ascending,Random,1000,1730169
10,BubbleSortWhileNeeded,Ascending,Random,1000,1924336
1,BubbleSortWhileNeeded,Ascending,Sorted,1000,2459
2,BubbleSortWhileNeeded,Ascending,Sorted,1000,2364
3,BubbleSortWhileNeeded,Ascending,Sorted,1000,2402
4,BubbleSortWhileNeeded,Ascending,Sorted,1000,2387
5,BubbleSortWhileNeeded,Ascending,Sorted,1000,2520
6,BubbleSortWhileNeeded,Ascending,Sorted,1000,2478
7,BubbleSortWhileNeeded,Ascending,Sorted,1000,2425
8,BubbleSortWhileNeeded,Ascending,Sorted,1000,2544
