Index,SortingAlgo,SortingType,DataType,DataSize,ExeTime
9,BubbleSortUntilNoChange,Ascending,ReverseSorted,1000,4.097129000
10,BubbleSortUntilNoChange,Ascending,ReverseSorted,1000,4.147302000
1,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,2.682062000
2,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,2.895044000
3,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,2.729714000
4,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,2.886363000
5,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,2.624755000
6,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,2.813784000
7,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,3.113865000
8,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,2.907789000
9,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,3.007845000
10,BubbleSortUntilNoChange,Ascending,PartiallySorted,1000,2.617463000
1,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,0.003084000
2,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,0.003119000
3,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,0.003085000
4,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,0.003099000
5,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,0.003065000
6,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,0.003120000
7,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,0.003094000
8,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,0.003077000
9,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,0.003096000
10,BubbleSortUntilNoChange,Ascending,DuplicateValues,1000,0.003056000
1,BubbleSortUntilNoChange,Ascending,Random,10000,401.877494000
2,BubbleSortUntilNoChange,Ascending,Random,10000,432.715075000
3,BubbleSortUntilNoChange,Ascending,Random,10000,404.532485000
4,BubbleSortUntilNoChange,Ascending,Random,10000,376.542397000
5,BubbleSortUntilNoChange,Ascending,Random,10000,361.430246000
6,BubbleSortUntilNoChange,Ascending,Random,10000,352.094808000
7,BubbleSortUntilNoChange,Ascending,Random,10000,368.856144000
8,BubbleSortUntilNoChange,Ascending,Random,10000,377.237836000
9,BubbleSortUntilNoChange,Ascending,Random,10000,357.303161000
10,BubbleSortUntilNoChange,Ascending,Random,10000,347.408590000
1,BubbleSortUntilNoChange,Ascending,Sorted,10000,0.022651000
2,BubbleSortUntilNoChange,Ascending,Sorted,10000,0.022354000
3,BubbleSortUntilNoChange,Ascending,Sorted,10000,0.022528000
4,BubbleSortUntilNoChange,Ascending,Sorted,10000,0.022055000
5,BubbleSortUntilNoChange,Ascending,Sorted,10000,0.022392000
6,BubbleSortUntilNoChange,Ascending,Sorted,10000,0.038907000
7,BubbleSortUntilNoChange,Ascending,Sorted,10000,0.022093000
8,BubbleSortUntilNoChange,Ascending,Sorted,10000,0.022038000
